Classifier,Condition,Action,Fitness,Prediction,Error,Experience
99,##10#1,0,0.01678577616469039,533.8786928792908,432.08216252816453,45
105,#0001#,0,0.001858874015905966,794.9474800999996,341.09153194924295,27
106,0##0##,0,0.29842858263912353,657.997894994068,296.8618858651297,141
110,##1#00,1,3.431851482988301e-05,523.7518969433297,431.40467836212946,43
114,#0##00,0,0.009220840899793045,609.8305038137307,316.4692228754427,79
118,11##00,1,0.6992939493674951,0.0,0.0,12
129,1###11,1,0.8316407286973697,1000.0,0.0,71
133,#00#0#,0,0.8889411695086572,1000.0,0.0,75
137,0###1#,0,0.0032881640754189884,681.7287703598024,343.8895320234168,87
138,0#1##1,0,0.004828765139764763,391.23718983712695,424.254788447415,41
143,#01100,1,0.17602454313252536,774.464,251.75039999999996,14
149,##101#,0,0.03565212115918895,449.4484469418427,391.5004732408766,38
150,##10##,1,0.0050241717722097606,688.1856528543369,403.3994622979251,104
163,00##00,0,0.0011319337545352927,543.7494523959251,399.22702638849694,33
167,#11110,1,0.01573196013861586,896.947563748655,219.44349267783406,22
171,###0#0,0,0.026680634471317147,532.2247066520007,365.1763433217667,118
172,0100##,0,0.7973949809736631,1000.0,0.0,29
175,#1#0#1,1,0.004772097968264772,581.2581035266587,411.38889093462825,49
176,0##00#,1,0.006934564502176393,534.3509901429287,442.57707165491524,34
177,00011#,0,0.2503184500322315,1000.0,0.0,9
178,###111,0,0.6844229375369761,106.65901162496,198.142209294336,22
179,0##101,0,0.009922136662150215,289.6778601913385,388.8031871228969,22
181,#11#00,1,0.012747506002406978,415.92627200000004,410.31912106666664,13
185,#00###,0,0.201589503285221,995.0545548099965,21.834056850688548,106
193,11#1##,0,0.0020175392260923723,766.6726838966127,352.5488152751177,40
194,##1##0,0,0.002142363508509057,299.0494114926206,380.16145709590984,98
197,####00,1,1.0315497047142654e-05,461.0306654724759,437.3481924222477,57
198,#110##,1,0.019961420343800596,436.1776183572128,425.8874420037117,38
202,0#0#11,1,0.0915547447499769,475.25120000000004,385.44384,11
205,00#0##,0,0.015572872573467253,629.5886661404792,343.9889920725374,58
206,##00##,0,0.1426640410089339,868.1324698408105,171.21144157634404,110
210,#0#010,1,0.06274444651201302,798.8194083792825,166.47357738693384,28
211,#1#000,1,0.36143520441166876,0.0,0.0,10
212,0#0#0#,1,0.0005669617866913447,839.2832930662862,304.6202635627591,34
215,#01#00,0,0.0016083304389407443,488.08503145450766,419.8576707241306,31
219,0##10#,0,0.0016177938602049836,194.7975248690807,336.57132971436897,43
222,##001#,0,0.0014031672620206095,894.8288266732092,234.27532048360942,44
224,0#1###,1,0.014915375123932017,824.5913064430167,262.77402761309656,124
227,####01,1,0.002168250446918692,832.7084679622951,301.11062191088246,96
228,##01#1,1,0.0002713762279650577,882.5241886741079,229.6699644722523,50
241,0##11#,0,0.04921392911809237,307.68045638654365,398.54155791744375,22
247,#11##0,1,0.0023694266503399833,745.4268889511549,378.15641834947354,35
251,1#1#10,1,0.0017241989075258111,798.5583611155527,326.4225140765269,24
252,10#11#,1,0.07121933659503506,1000.0,0.0,31
253,#0#00#,1,0.002225470231631376,487.72029688267344,438.0716819635533,30
257,#11#10,1,0.0038918274571199674,759.0861436454909,365.64842451801195,24
265,0##00#,0,0.01873588207902394,644.6124635321479,313.5746422051576,64
273,#1##0#,1,0.012282194394304247,815.5240322381445,287.2716842012142,74
274,1110#0,1,0.4582065755860003,0.0,0.0,5
275,1###0#,0,0.02512249513358918,806.5971750565825,242.33890921026742,87
276,####00,0,0.001339794868616317,526.2096778458061,373.34627488324116,104
279,0#1##0,1,0.008267437829994563,995.3243327529241,20.116257371798046,48
294,#0##10,1,0.07500906115978191,826.1293395927771,199.31955636831063,45
298,#1####,1,0.005781809205104876,611.6366151025125,406.5418844857531,141
299,###000,0,0.013930722686316014,694.6009350056835,274.1285246776497,53
300,0#1#0#,0,0.005380717456400811,292.6168308491171,391.4748573446502,34
303,#00##0,0,0.0006402357006257462,982.998960009057,61.20521970165623,45
305,######,1,0.01415043286740542,694.8877114469004,391.9048107635426,294
306,##11#1,1,1.57739909633928e-05,871.9561430474217,153.97869171640167,52
307,10##0#,1,0.7216435390951872,0.0,0.0,23
308,###1#1,1,3.923471799153129e-06,857.8306937974077,194.67958560406507,97
320,1#####,0,0.004107214556461099,575.3589476275524,404.81843957110294,126
321,0#01#1,0,0.003477315616981073,510.856104771584,410.85789127311364,19
322,####11,1,0.0436207435315201,772.930961191919,220.49514628064762,78
323,0#0#10,0,0.3634985065423931,840.0,160.0,14
330,10##0#,0,0.4652631592780302,1000.0,0.0,45
338,##000#,0,0.02945892614509716,835.3068233082798,178.40090104618776,54
340,##1110,1,0.0033597587415576226,984.556052718967,53.03481578086206,30
343,0##1##,1,0.00011993699251843412,998.8032872403567,7.185901276252231,88
344,####1#,1,0.12129013320487465,585.9261569660125,372.7901898382858,141
349,1##1##,0,0.008776677270801031,731.0610401986805,308.06085761840126,59
356,##0##1,1,3.11144735352779e-05,820.2365900809647,263.210505366098,63
358,1110##,1,0.0034189715925251494,813.71392,299.9473493333333,12
360,#0#110,1,0.0029741800484242497,940.5343255822336,131.0113165860318,20
364,#1#1#1,1,0.8720184501885224,1000.0,0.0,38
366,######,0,0.006360807358078459,327.0656866344101,404.6069952308613,247
367,00#01#,0,0.007286539729778934,841.57589504,286.9435214506667,15
379,01####,0,0.0006872107851284496,514.454805338511,431.82810005579137,63
380,###10#,0,0.0004916410024209028,466.69863738302803,431.88705214813416,66
381,1####0,0,0.2991056519581734,637.0810077412547,322.31900638315784,64
384,0##1#1,1,0.00011135930145388044,990.6603737587022,39.16437289193006,41
390,1####1,1,3.1546460614035867e-08,766.0400138848238,305.1999216958284,68
400,####0#,0,0.0031454774628828916,449.41837305549836,430.4651700159884,142
404,#0#10#,0,0.009559291570810261,818.0572221851501,214.36194578289883,37
406,#1##10,0,0.01479550290184491,890.5631255822336,167.28537302040573,26
417,##0111,0,0.033570129619432724,262.4,311.8933333333333,8
418,00#111,0,0.1214008284720747,666.6666666666667,222.22222222222226,3
422,0#01##,1,0.008038074371641075,875.1189940305919,254.1013247721472,19
445,01#0#0,0,0.629108812865329,1000.0,0.0,16
446,010#0#,0,0.001049223240072634,496.72231663960065,440.472519773083,21
450,#1###0,0,3.49898542359448e-05,782.8199080330879,277.2749104657448,54
451,#0#0##,0,0.0028029987850324255,518.1304466936401,422.3002244032824,54
452,0#0###,0,2.1536141189095773e-05,779.7097836367406,278.7682438266438,66
453,#0##0#,0,0.01133688406448534,562.0411966966592,370.1142812013152,65
459,##1100,1,0.053154272538434834,774.464,251.75039999999996,10
460,001###,1,0.991042978132991,1000.0,0.0,43
463,###1##,1,0.01035707246082203,816.861686788406,274.67103548253067,97
464,0#0###,1,0.007048236432055494,659.0559237177343,376.2506298276796,20
465,#1##0#,0,0.0009774712126608962,492.824263307739,436.9641042049149,52
477,00###1,1,0.00045875608345426184,979.1805945856653,75.15284827103747,29
478,###00#,1,0.005632124261727341,628.1514684264906,418.8474708634901,33
486,#####0,0,0.00535971933322834,461.86424921056516,422.16664042655924,85
492,#0##01,0,0.18109864211530338,697.6,262.4,30
495,####0#,1,0.0014344292218749835,769.9690661660029,362.82068854113476,70
497,####10,0,0.0021801238865858026,586.4401093525922,382.037937675132,31
503,###111,1,0.0027741732374717914,994.3705004657869,22.51799813685246,22
513,###1#0,0,0.001288809218917579,558.7722161962472,425.94586047567833,28
522,#0##0#,1,0.00014511350072257283,601.006241833924,432.10954066015637,30
529,0#000#,1,0.11755350798212794,0.0,0.0,1
536,01##0#,0,0.00033920711862206584,533.2622862779941,434.9192530450623,23
543,0##10#,1,0.0021991110590001634,991.203906977792,34.451364336981314,19
548,##1#0#,0,0.01550179678017034,351.33784950521294,413.76765144931835,31
554,11###1,1,0.4259321885139129,1000.0,0.0,22
558,##00#0,0,0.40318362602541413,1000.0,0.0,13
559,01####,1,0.009800023482587097,610.5659194254295,392.77611139563083,22
561,010##0,1,0.14987541465017842,1000.0,0.0,2
563,10####,1,0.0002055248025377967,375.2747286156762,410.26943441327757,25
565,0#####,1,0.033602023060469596,735.1435809183084,328.3810780138224,49
566,011##0,1,0.5192913552828917,1000.0,0.0,4
575,###1##,0,0.0030619680038717835,378.37262343968456,423.34939667783607,44
576,10#111,0,0.032634894407083455,471.6505568430319,201.21760557165902,0
585,###011,0,0.028367900796070565,685.2224,384.72362666666663,11
587,#0#0##,1,0.0015125025455061077,664.990341955584,393.64675889179307,19
588,0#1#0#,1,0.04447757504664078,837.2020224,258.78724608,16
590,0#010#,1,0.1974846867543566,1000.0,0.0,6
601,1110##,0,0.08205167437366334,744.0,317.8666666666667,7
607,010###,0,0.01232875442068124,467.2,398.93333333333334,8
631,#1#10#,0,0.06773323005543917,0.0,0.0,4
633,11##10,0,0.6970535428550225,1000.0,0.0,7
640,#0##00,1,0.04747063819936549,250.0,187.5,4
644,#00#0#,1,0.08972516069249512,0.0,0.0,3
651,##0000,0,0.12580234352725528,1000.0,0.0,3
665,0##110,0,0.22464415687903985,0.0,0.0,1
666,##0#1#,0,0.023937723413306244,872.0,215.46666666666664,7
670,1#10#1,1,0.0584804369073518,1000.0,0.0,1
672,#0###0,1,0.017828529716640718,520.0,373.3333333333333,6
673,1#1##0,0,0.07670265133945083,333.33333333333337,277.77777777777777,3
686,##00#1,0,0.02462008462211515,1000.0,0.0,1
690,11#110,0,0.06970535428550226,1000.0,0.0,0
698,0#1111,0,0.03446258513383704,248.94810073104347,311.1984988708755,0
